x,y,z,yaw,gear
0.000000,0.000000,0.000000,0.000000,-1.000000
0.108386,-0.014053,-0.001907,0.000993,1.000000
0.286848,-0.013872,-0.001884,0.000978,1.000000
0.465296,-0.013692,-0.001144,0.000965,1.000000
0.643760,-0.013515,-0.001804,0.000950,1.000000
0.822208,-0.013341,-0.002273,0.000945,1.000000
1.000656,-0.013169,-0.002248,0.000936,1.000000
1.179105,-0.012998,-0.002188,0.000922,1.000000
1.347643,-0.014249,-0.001435,-0.001160,1.000000
1.526085,-0.014452,-0.001670,-0.001165,1.000000
1.704542,-0.014658,-0.002343,-0.001168,1.000000
1.882995,-0.014860,-0.002113,-0.001180,1.000000
2.061440,-0.015068,-0.001534,-0.001188,1.000000
2.239900,-0.015274,-0.001877,-0.001200,1.000000
2.507576,-0.015593,-0.002432,-0.001231,1.000000
2.655513,-0.004750,-0.003292,-0.000100,1.000000
2.656082,0.101040,-0.002179,1.168444,1.000000
2.726314,0.262481,-0.001996,1.168892,1.000000
2.796130,0.426706,-0.001138,1.168925,1.000000
2.865958,0.590943,-0.002506,1.168929,1.000000
2.935771,0.755169,-0.002888,1.168953,1.000000
3.005593,0.919406,-0.002617,1.168974,1.000000
3.075404,1.083642,-0.001221,1.169018,1.000000
3.145201,1.247869,-0.002291,1.169048,1.000000
3.215005,1.412115,-0.001392,1.169049,1.000000
3.284803,1.576358,-0.002473,1.169083,1.000000
3.354601,1.740605,-0.002459,1.169109,1.000000
3.424394,1.904840,-0.002219,1.169123,1.000000
3.494171,2.069073,-0.002496,1.169169,1.000000
3.563945,2.233310,-0.001328,1.169153,1.000000
3.633724,2.397554,-0.002136,1.169201,1.000000
3.703504,2.561807,-0.002057,1.169225,1.000000
3.773268,2.726053,-0.001809,1.169237,1.000000
3.843030,2.890301,-0.002072,1.169261,1.000000
3.896475,3.022682,-0.002360,1.169947,1.000000
4.008581,3.005055,-0.002115,0.195196,1.000000
4.183626,3.039666,-0.001906,0.195187,1.000000
4.358676,3.074276,-0.002451,0.195190,1.000000
4.533737,3.108886,-0.002066,0.195190,1.000000
4.708786,3.143495,-0.002060,0.195185,1.000000
4.883832,3.178103,-0.002305,0.195183,1.000000
5.058882,3.212712,-0.002118,0.195183,1.000000
5.321458,3.264624,-0.002261,0.195178,1.000000
5.496509,3.299230,-0.001868,0.195175,1.000000
5.645598,3.335423,-0.002531,0.196853,1.000000
5.777186,3.298067,-0.002401,-0.083211,1.000000
6.043931,3.275827,-0.002458,-0.083221,1.000000
6.221765,3.260999,-0.001052,-0.083231,1.000000
6.399615,3.246174,-0.002309,-0.083233,1.000000
6.577457,3.231347,-0.002452,-0.083243,1.000000
6.755297,3.216519,-0.001824,-0.083234,1.000000
6.933138,3.201694,-0.002596,-0.083228,1.000000
7.110976,3.186869,-0.001766,-0.083228,1.000000
7.288823,3.172042,-0.002236,-0.083246,1.000000
7.389177,3.346225,-0.000684,0.992635,1.000000
7.486714,3.495666,-0.001366,0.992637,1.000000
7.584260,3.645116,-0.001233,0.992614,1.000000
7.681797,3.794567,-0.000770,0.992641,1.000000
7.779326,3.944003,-0.002405,0.992651,1.000000
7.876859,4.093446,-0.000889,0.992658,1.000000
8.023168,4.317628,-0.001254,0.992680,1.000000
8.120696,4.467079,-0.000688,0.992696,1.000000
8.202107,4.584251,-0.001936,0.989283,1.000000
8.262225,4.492814,-0.003171,-0.239188,1.000000
